segment_index	line_id	start	end	persona	tier	scene_title	match_method	match_score	text_preview
03	S05-03-197	01:13:06,304	01:13:11,528	Doctor_Hope	major	Dr. Hope's laboratory	exact	1.000	And you must be Vicar General Fontaine.
03	S05-03-198	01:13:13,511	01:13:14,553	Doctor_Hope	major	Dr. Hope's laboratory	propagated	0.000	Yes, indeed, that's correct.
03	S05-03-200	01:13:15,955	01:13:17,819	Doctor_Hope	major		propagated	0.000	We've been looking forward to you.
03	S05-03-201	01:13:20,564	01:13:22,788	Doctor_Hope	major		propagated	0.000	The other Vicar General, Mr.
03	S05-03-202	01:13:22,868	01:13:25,773	Doctor_Hope	major		propagated	0.000	Smoke, had let us know that you were going to be coming to look
03	S05-03-203	01:13:28,648	01:13:29,789	Doctor_Hope	major		propagated	0.000	a task for us.
03	S05-03-204	01:13:30,289	01:13:42,935	Doctor_Hope	major		propagated	0.000	We're really looking forward to showing you what we've been working on, what our research actually can accomplish, that it's not just theoretical, we can do stu
03	S05-03-205	01:13:43,696	01:13:47,657	Doctor_Hope	major		propagated	0.000	And we're really, really excited to demonstrate that.
03	S05-03-206	01:13:48,298	01:13:49,979	Doctor_Hope	major		propagated	0.000	So I'm Dr. Hope, and this is
03	S05-03-207	01:13:58,415	01:13:59,980	Doctor_Hope	major		propagated	0.000	very nice tweed suits.
03	S05-03-208	01:14:05,935	01:14:07,515	Doctor_Hope	major		propagated	0.000	playing on the bed.
03	S05-03-210	01:14:16,498	01:14:30,562	Doctor_Hope	major		propagated	0.000	Not a gown like we think of today, like the blue Novak, but like pajamas, like a top and a bottom of just kind of simple white cotton, you know, easy to clean, 
03	S05-03-215	01:14:56,494	01:15:00,655	Doctor_Hope	major		propagated	0.000	And when he looks over at you, he has kind of a simple expression.
03	S05-03-220	01:15:11,783	01:15:20,128	Doctor_Hope	major	Dr. Hope's laboratory	exact	1.000	And this is our resource assistant and friend, Bob.
03	S05-03-221	01:15:21,969	01:15:27,832	Doctor_Hope	major		propagated	0.000	And so let me show you the pictures of everyone, what everyone looks like.
03	S05-03-250	01:17:38,986	01:17:54,975	Doctor_Hope	major	Dream objects into the physical world	fuzzy	0.955	Can we prove that dream is real by taking objects found in dream and through a combination of technologies and stuff, manifest that into the physical realm?
03	S05-03-321	01:26:14,561	01:26:21,284	Doctor_Hope	major	Dream objects into the physical world	fuzzy	0.929	So, you may be asking, what does this all have to do with the geography of dreams and Dr. Mike's research?
03	S05-03-322	01:26:21,304	01:26:22,784	Doctor_Hope	major		propagated	0.000	Well, Dr. Mike, you take it from here.
03	S05-03-323	01:26:23,204	01:26:24,385	Doctor_Hope	major		propagated	0.000	So, Dr. Mike steps up.
03	S05-03-325	01:26:26,423	01:26:31,624	Doctor_Hope	major		propagated	0.000	I don't know about astral planes, but anyway, getting to the real science stuff about sleep.
03	S05-03-326	01:26:32,665	01:26:47,709	Doctor_Hope	major		propagated	0.000	What I have come up with is using animal magnetism and hypnosis and this machine here, I have found individuals who I've been able to get into a dream state.
03	S05-03-327	01:26:48,709	01:26:54,831	Doctor_Hope	major		propagated	0.000	Working with other scientists and psychics and telepaths,
03	S05-03-328	01:26:55,785	01:27:04,936	Doctor_Hope	major		propagated	0.000	We have been able to, mainly telepaths, have been able to get into the mind of these dreamers.
03	S05-03-329	01:27:05,116	01:27:15,148	Doctor_Mike	major	Dream objects into the physical world	fuzzy	0.979	I can get into a consistent dream state and they can explore dream within that person's dreamscape.
03	S05-03-330	01:27:16,632	01:27:21,477	Doctor_Mike	major	Dream objects into the physical world	exact	1.000	From our research, we have determined a couple of things.
03	S05-03-331	01:27:22,217	01:27:41,996	Doctor_Mike	major		propagated	0.000	Each person, when they go to sleep, enters into a dreamscape that is confined to their experience, their consciousness, if you will, a bubble that they will ver
03	S05-03-332	01:27:43,007	01:27:49,949	Doctor_Mike	major		propagated	0.000	And all of dream, if you imagine, is a sea of bubbles of dreamscapes.
03	S05-03-333	01:27:50,669	01:28:04,152	Doctor_Mike	major		propagated	0.000	Every human in a little bubble, all right next to each other, just squished membranes, just a soap bubble distance from each other, but it could be infinity bec
03	S05-03-334	01:28:04,952	01:28:07,152	Doctor_Mike	major		propagated	0.000	And that's been humans reality.
03	S05-03-335	01:28:07,632	01:28:14,814	Doctor_Mike	major	Dream objects into the physical world	exact	1.000	There have been some exceptional individuals who can punch through and enter into other people's dreams.
